10951,201518_AT 210921_AT
7334,201523_X_AT 201524_X_AT 212751_AT
7538,201531_AT
8106,201544_X_AT 201545_S_AT 213046_AT 217205_AT
10765,201547_AT 201548_S_AT 201549_X_AT 211202_S_AT
2803,201567_S_AT 215203_AT 236375_AT
8870,201631_S_AT
3460,201642_AT
10175,201653_AT 225553_AT
400,201657_AT 201658_AT 201659_S_AT
1958,201693_S_AT 201694_S_AT 227404_S_AT
10299,201736_S_AT 201737_S_AT 212498_AT 215512_AT 215902_AT 215908_AT
6446,201739_AT
5756,201745_AT 214007_S_AT 214008_AT 243033_AT 244199_AT
10797,201761_AT
3930,201795_AT 220644_AT
23429,201844_S_AT 201845_S_AT 201846_S_AT 237456_AT
6455,201851_AT
2908,201865_X_AT 201866_S_AT 211671_S_AT 216321_S_AT 232431_AT
5445,201876_AT 210830_S_AT 236795_AT 236882_AT 242700_AT
9643,201994_AT 238502_AT 243683_AT 243857_AT
6993,201999_S_AT 242109_AT
9354,202038_AT
5504,202165_AT 202166_S_AT 213774_S_AT 236754_AT
9766,202181_AT
10221,202241_AT 235641_AT 239818_X_AT
23219,202271_AT 202272_S_AT
7979,202276_AT
1026,202284_S_AT
10542,202299_S_AT 202300_AT 237065_S_AT
22862,202304_AT 215910_S_AT 228533_AT 228534_S_AT 231343_AT 231367_S_AT 238961_S_AT 241611_S_AT
1277,202310_S_AT 202311_S_AT 202312_S_AT 217430_X_AT
3164,202340_X_AT 210226_AT 211143_X_AT
23321,202341_S_AT 202342_S_AT 214248_S_AT 214249_AT 215945_S_AT 243945_AT
3685,202351_AT 232797_AT 236251_AT 241769_AT
54741,202378_S_AT
5997,202388_AT
7071,202393_S_AT 244447_AT
4905,202395_AT
3481,202410_X_AT 210881_S_AT
1622,202428_X_AT 209389_X_AT 211070_X_AT
4609,202431_S_AT 239931_AT 244089_AT
10613,202441_AT 202444_S_AT
11044,202466_AT
8932,202484_S_AT 202485_S_AT 214396_S_AT 214397_AT 236130_AT
6903,202495_AT
6515,202497_X_AT 202498_S_AT 202499_S_AT 236571_AT
9768,202503_S_AT 211713_X_AT
9474,202511_S_AT 202512_S_AT 210639_S_AT 233768_AT 234080_AT
3156,202539_S_AT 202540_S_AT
2764,202543_S_AT 202544_AT
6782,202557_AT 202558_S_AT
23484,202594_AT 202595_S_AT
9282,202610_S_AT 202611_S_AT 202612_S_AT 215167_AT 217120_S_AT 231226_AT
5440,202634_AT 202635_S_AT
7844,202636_AT
403,202641_AT 213433_AT
8799,202658_AT
8813,202673_AT 237213_AT
8743,202687_S_AT 202688_AT 214329_X_AT
3459,202727_S_AT 211676_S_AT 242903_AT
9475,202762_AT 211504_X_AT
836,202763_AT 236729_AT
901,202769_AT 202770_S_AT 211559_S_AT 228081_AT
6924,202818_S_AT 202819_S_AT 213604_AT 213685_AT
6921,202823_AT 202824_S_AT 216426_AT
4189,202842_S_AT 202843_AT
5279,202846_S_AT 215242_AT 216593_S_AT
8697,202892_AT 223651_X_AT
133,202912_AT
25843,202918_S_AT 202919_AT 243845_AT
2729,202922_AT 202923_S_AT
7525,202932_AT 202933_S_AT 210917_AT 222180_AT
6662,202935_S_AT 202936_S_AT
11065,202954_AT
10144,202972_S_AT 202973_X_AT 217047_S_AT 232628_AT 240047_AT 243020_AT
22836,202975_S_AT 202976_S_AT 216048_S_AT 216049_AT 225202_AT 240111_AT
6477,202980_S_AT 202981_X_AT 221833_AT 221834_AT 232365_AT
5996,202988_S_AT 202989_AT 216834_AT
51421,203002_AT 207755_AT
56951,203024_S_AT 229260_AT 243350_AT
9925,203026_AT
5925,203132_AT 211540_S_AT
6908,203135_AT
11215,203156_AT 215336_AT
2628,203178_AT 216733_S_AT 231590_AT 231686_AT 235426_AT
11041,203188_AT 228203_AT
10058,203191_AT 203192_AT
55312,203224_AT 203225_S_AT
2145,203249_AT 211310_AT 239197_S_AT 239198_AT 32259_AT
10671,203261_AT
11334,203272_S_AT 203273_S_AT
4001,203276_AT
4850,203291_AT 210203_AT 210204_S_AT 210866_S_AT 210867_AT
3720,203297_S_AT 203298_S_AT 232835_AT 240674_AT
9988,203301_S_AT
25805,203304_AT
10559,203306_S_AT
6814,203310_AT 222246_AT
7050,203313_S_AT 244858_AT
22823,203345_S_AT 203346_S_AT 203347_S_AT 209704_AT 209705_AT
2800,203383_S_AT 203384_S_AT 214997_AT 228174_AT 240710_AT
2286,203391_AT
3280,203393_AT 203394_S_AT 203395_S_AT
23531,203414_AT 244523_AT
890,203418_AT 213226_AT
51439,203420_AT
51430,203429_S_AT
25776,203450_AT
8417,203457_AT 212631_AT 212632_AT 229214_AT
9801,203465_AT 238448_AT
4717,203478_AT 232146_AT
54726,203479_S_AT 203480_S_AT 220669_AT 238848_AT
